"ID","地域","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1498","金沢市","36.596767","136.737368","避難所","","","","","","三谷公民館（指定避難場所）","収容人数：138 災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0153","金沢市宮野町ホ79","076-257-6727","076-257-6748","","","","","",""
"1499","金沢市","36.595839","136.735955","避難所","","","","","","三谷小学校（指定避難場所）","収容人数：1356 災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0153","金沢市宮野町ニ277","076-257-6464","076-257-4896","","","","","標高：26.5M",""
"1500","金沢市","36.608065","136.70866","避難所","","","","","","薬師谷公民館（指定避難場所）","収容人数：140 災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0173","金沢市不動寺町イ34-1","076-257-2488","076-257-2467","","","","","標高：15.4M",""
"1501","金沢市","36.608454","136.708621","避難所","","","","","","不動寺小学校（指定避難場所）","収容人数：1408 災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0173","金沢市不動寺町イ33","076-258-0221","076-258-4524","","","","","標高：16.0M",""
"1502","金沢市","36.630021","136.674668","避難所","","","","","","柳瀬川つつみ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3121","金沢市大場町西23-1","","","","","","","",""
"1503","金沢市","36.626012","136.688192","避難所","","","","","","湖陽児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3103","金沢市湖陽１丁目133","","","","","","","",""
"1504","金沢市","36.627243","136.688814","避難所","","","","","","湖陽緑道公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3103","金沢市湖陽１丁目80","","","","","","","",""
"1505","金沢市","36.626614","136.691389","避難所","","","","","","北部公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-3117","金沢市北森本町","076-257-2023","","","","","","",""
"1506","金沢市","36.636515","136.674782","避難所","","","","","","競馬場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0033","金沢市八田町西１","076-258-5761","","","","","","",""
"1507","金沢市","36.624178","136.686892","避難所","","","","","","金沢向陽高等学校（指定避難場所）","収容人数：457災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-3121","金沢市大場町東590","076-258-2355","076-258-3592","kouyoh@m1.ishikawa-c.ed.jp","","","","標高：2.9M",""
"1508","金沢市","36.633183","136.686089","避難所","","","","","","湖南公民館（指定避難場所）","収容人数：111 災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3104","金沢市八田町東1459","076-258-0023","076-258-0023","","","","","標高：1.1M",""
"1509","金沢市","36.627772","136.773839","避難所","","","","","","旧上平小学校（指定避難場所）","収容人数：161 災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0122","金沢市上平町ハ２５","","","","","","","標高：93.8M",""
"1510","金沢市","36.622653","136.755593","避難所","","","","","","旧朝日小学校（指定避難場所）","収容人数：315 災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0114","金沢市加賀朝日町ホ33","076-257-5563","076-257-5563","","","","","標高：161.1M",""
"1511","金沢市","36.633483","136.707671","避難所","","","","","","花園公民館（指定避難場所）","収容人数：112 災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0106","金沢市今町チ41","076-258-0006","076-258-0006","","","","","標高：3.0M",""





